Timestamp,Name (Optional),Age (Optional),Gender,Have you thought of working while studying?,"If you were to work while studying, where do you plan to work?",What are the factors that will motivate a student like you to take a part time job?,Do you think having a part time job will affect your academic performance negatively?,How will you rate the stress level of a working student?,"In this time of pandemic, how easy will it be for you to balance studying and working?"
2021/09/10 10:27:18 AM GMT+8,Jun,20,Male,Yes,Fast food chains,To explore,Yes,4,3
2021/09/10 10:27:44 AM GMT+8,Josh,,Male,Yes,Fast food chains,To support your own studies,Yes,4,4
2021/09/10 10:28:18 AM GMT+8,Mark,,Prefer not to say,No,As a tutor,To explore,Yes,4,4
2021/09/10 10:28:39 AM GMT+8,,,Prefer not to say,No,As a freelancer,To explore,Yes,4,4
2021/09/10 10:32:32 AM GMT+8,,,Female,Yes,As a freelancer,To support your own studies,No,3,3
2021/09/10 10:37:53 AM GMT+8,Ryan Joshua,21,Male,No,Fast food chains,To provide for my family,No,3,2
2021/09/10 11:05:36 AM GMT+8,Joey Llorca,24,Male,Yes,As a freelancer,To support your own studies,No,4,4
2021/09/10 11:11:13 AM GMT+8,,23,Female,Yes,Fast food chains,To support your own studies,Yes,3,3
2021/09/10 11:16:48 AM GMT+8,Kim,24,Prefer not to say,Yes,As a freelancer,To support your own studies,No,4,4
2021/09/10 11:19:38 AM GMT+8,,18,Male,Yes,Fast food chains,To support your own studies,Yes,4,4
2021/09/10 11:22:05 AM GMT+8,,,Female,Yes,As a tutor,To support your own studies,No,3,3
2021/09/10 11:23:59 AM GMT+8,Jam Rose,21,Prefer not to say,Yes,As a freelancer,To support your own studies,Yes,4,4
2021/09/10 11:39:52 AM GMT+8,Karl Andrei Sotto,21,Male,Yes,Fast food chains,To explore,Yes,3,3
2021/09/10 11:44:36 AM GMT+8,,,Male,No,Fast food chains,To support your own studies,Yes,3,2
2021/09/10 12:30:07 PM GMT+8,,,Male,Yes,As a freelancer,To provide for my family,Yes,3,3
2021/09/10 12:37:06 PM GMT+8,Samella Ronquillo,23,Female,Yes,As a freelancer,To support your own studies,Yes,4,3
2021/09/10 1:43:50 PM GMT+8,,20,Female,Yes,As a freelancer,To explore,Yes,4,2
2021/09/10 7:24:46 PM GMT+8,Franchesca Alagasi,14,Female,Yes,As a tutor,To provide for my family,Yes,3,3
2021/09/10 9:09:40 PM GMT+8,Rami,,Prefer not to say,Yes,As a tutor,To support your own studies,No,2,2
2021/09/10 9:10:48 PM GMT+8,Anne,,Female,Yes,As a tutor,To provide for my family,No,2,3
2021/09/10 9:11:10 PM GMT+8,,,Prefer not to say,Yes,As a tutor,To explore,No,2,4
2021/09/10 9:11:31 PM GMT+8,,,Female,No,As a freelancer,To explore,No,2,2
2021/09/10 9:11:50 PM GMT+8,,,Male,Yes,As a freelancer,To explore,No,2,3
2021/09/11 9:19:22 AM GMT+8,,21,Female,Yes,As a tutor,To support your own studies,No,4,4
2021/09/11 11:04:04 AM GMT+8,,,Female,Yes,Fast food chains,To provide for my family,No,3,3
2021/09/11 1:08:44 PM GMT+8,,,Female,Yes,As a tutor,To explore,No,3,3
2021/09/11 1:09:20 PM GMT+8,Tia,,Female,Yes,As a freelancer,To support your own studies,No,2,3
2021/09/11 1:09:44 PM GMT+8,Dj,,Male,Yes,Fast food chains,To provide for my family,No,3,4
2021/09/11 1:10:06 PM GMT+8,,,Male,No,As a freelancer,To explore,No,4,4
2021/09/11 1:14:48 PM GMT+8,Trisha,20,Female,Yes,Fast food chains,To support your own studies,No,3,3
2021/09/11 1:15:59 PM GMT+8,,,Male,Yes,As a freelancer,To support your own studies,No,3,3
